-74.04324971474895,40.74273807152408,-73.95850939320928,40.84032094608427;500;575
-73.96583970904949,40.835815492627106,-73.91206814401943,40.862189544959435;500;245
-73.94210481563016,40.8055546295578,-73.93146038453284,40.85704821439814;500;2418
-74.04093372680586,40.83414468338016,-73.9780802288832,40.861374257950246;500;216
-74.02947023543456,40.76863311173365,-73.91600077497796,40.82000434459129;500;226
-73.99354814564701,40.717191683060136,-73.91847338925199,40.79562362139982;500;522
-73.99862291700862,40.685784366359464,-73.912786821704,40.73427349172536;500;282
-74.01673755083745,40.764565515365724,-73.96548688667198,40.81058767166721;500;448
-73.99912560447102,40.717806764703575,-73.93296675092944,40.84604810246048;500;969
-73.99847786932534,40.686901440783075,-73.93398107050727,40.86284212623063;500;1363
-73.95740004180304,40.77500602930293,-73.93439448555382,40.84644385610972;500;1552
-73.97459997382727,40.79554084652725,-73.93140114582383,40.83350198338389;500;439
-73.93962882996509,40.77485711319066,-73.90720084898787,40.85249895069091;500;1197
-74.01690359619049,40.816942583065774,-73.91036362064925,40.878403135462285;500;288
-74.01796118881884,40.68545905677013,-73.94020499417759,40.84034497905605;500;995
-74.02214557578442,40.72504441093204,-73.99111366393527,40.76776897661582;500;688
-73.97954562173264,40.69955423733502,-73.92178870774413,40.76886916834704;500;600
-73.95171062317988,40.717636748159606,-73.91809525374113,40.78480752666284;500;999
-73.97493907414706,40.79073675991359,-73.9381469425632,40.825364782734546;500;470
-74.03436579239343,40.74225034776794,-73.99641496495938,40.844971884789544;500;1353
-74.03414543485714,40.72538565478958,-73.94016242076324,40.82754847455612;500;543
-73.96785349806494,40.82728469658722,-73.93856338015254,40.83873985679961;500;195
-73.9393653357971,40.83460735917858,-73.92120910849502,40.872270278502114;500;1037
-73.9402111951162,40.76148105303674,-73.92328471416714,40.82287366349608;500;1813
-74.01828441901402,40.8139537266653,-73.9140112667927,40.87750173987525;500;304
-73.9831503152127,40.78233595732967,-73.92097404395648,40.86101208758806;500;632
-74.02912621588838,40.82291702306718,-73.93976440945248,40.855935483311654;500;184
-73.97369815523807,40.76389949462019,-73.95842357226509,40.82375426647439;500;1959
-74.00978372487403,40.77541333602163,-73.91362057540425,40.851100124999036;500;393
-73.9927701317509,40.779161452111445,-73.95497397341285,40.838252024994915;500;781
